session,message,value
1,1,14
1,2,14
1,3,4
1,4,17
1,5,32
1,6,8
1,7,19
1,8,9
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
2,1,36
2,2,4
2,3,34
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,5
3,2,3
3,3,1
3,4,6
3,5,8
3,6,10
3,7,4
3,8,7
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
4,1,9
4,2,21
4,3,12
4,4,15
4,5,10
4,6,25
4,7,11
4,8,12
4,9,7
4,10,16
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
5,1,5
5,2,4
5,3,4
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
6,1,10
6,2,8
6,3,42
6,4,42
6,5,89
6,6,94
6,7,133
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,8
7,2,7
7,3,4
7,4,2
7,5,4
7,6,14
7,7,7
7,8,4
7,9,2
7,10,4
7,11,2
7,12,7
7,13,4
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
8,1,5
8,2,11
8,3,3
8,4,11
8,5,2
8,6,11
8,7,17
8,8,2
8,9,10
8,10,6
8,11,13
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
9,1,21
9,2,3
9,3,11
9,4,12
9,5,23
9,6,4
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
10,1,5
10,2,16
10,3,9
10,4,41
10,5,2
10,6,2
10,7,3
10,8,2
10,9,12
10,10,3
10,11,2
10,12,16
10,13,12
10,14,4
10,15,13
10,16,3
10,17,17
10,18,3
10,19,2
10,20,20
10,21,5
10,22,16
10,23,2
10,24,3
11,1,5
11,2,30
11,3,2
11,4,11
11,5,2
11,6,14
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,0
11,23,0
11,24,0
12,1,5
12,2,33
12,3,3
12,4,7
12,5,12
12,6,12
12,7,24
12,8,0
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
13,1,5
13,2,32
13,3,22
13,4,3
13,5,7
13,6,12
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,0
13,15,0
13,16,0
13,17,0
13,18,0
13,19,0
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
14,1,3
14,2,8
14,3,25
14,4,4
14,5,4
14,6,4
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
14,22,0
14,23,0
14,24,0
15,1,10
15,2,3
15,3,22
15,4,12
