session;ix;length
1;1;14
1;2;14
1;3;4
1;4;17
1;5;32
1;6;8
1;7;19
1;8;9
2;1;36
2;2;4
2;3;34
3;1;5
3;2;3
3;3;1
3;4;6
3;5;8
3;6;10
3;7;4
3;8;7
4;1;9
4;2;21
4;3;12
4;4;15
4;5;10
4;6;25
4;7;11
4;8;12
4;9;7
4;10;16
5;1;5
5;2;4
5;3;4
6;1;10
6;2;8
6;3;42
6;4;42
6;5;89
6;6;94
6;7;133
7;1;8
7;2;7
7;3;4
7;4;2
7;5;4
7;6;14
7;7;7
7;8;4
7;9;2
7;10;4
7;11;2
7;12;7
7;13;4
8;1;5
8;2;11
8;3;3
8;4;11
8;5;2
8;6;11
8;7;17
8;8;2
8;9;10
8;10;6
8;11;13
9;1;21
9;2;3
9;3;11
9;4;12
9;5;23
9;6;4
10;1;5
10;2;16
10;3;9
10;4;41
10;5;2
10;6;2
10;7;3
10;8;2
10;9;12
10;10;3
10;11;2
10;12;16
10;13;12
10;14;4
10;15;13
10;16;3
10;17;17
10;18;3
10;19;2
10;20;20
10;21;5
10;22;16
10;23;2
10;24;3
11;1;5
11;2;30
11;3;2
11;4;11
11;5;2
11;6;14
12;1;5
12;2;33
12;3;3
12;4;7
12;5;12
12;6;12
12;7;24
13;1;5
13;2;32
13;3;22
13;4;3
13;5;7
13;6;12
14;1;3
14;2;8
14;3;25
14;4;4
14;5;4
14;6;4
15;1;10
15;2;3
15;3;22
15;4;12
15;5;10
15;6;16
15;7;12
15;8;16
15;9;4
15;10;16
15;11;4
15;12;12
15;13;16
16;1;12
16;2;22
16;3;23
17;1;54
17;2;14
17;3;101
17;4;17
18;1;4
18;2;4
18;3;4
19;1;40
19;2;3
19;3;9
19;4;4
19;5;28
19;6;30
19;7;4
19;8;16
19;9;10
19;10;4
19;11;2
19;12;4
19;13;4
19;14;4
19;15;4
20;1;2
20;2;1
20;3;26
20;4;3
20;5;6
20;6;7
21;1;12
21;2;3
21;3;9
21;4;9
21;5;4
21;6;4
21;7;3
21;8;4
21;9;19
22;1;25
22;2;13
22;3;12
22;4;25
22;5;6
23;1;44
23;2;9
23;3;9
23;4;10
23;5;7
23;6;3
23;7;4
23;8;2
23;9;4
23;10;3
24;1;24
24;2;5
24;3;24
24;4;15
24;5;10
24;6;16
24;7;10
24;8;26
24;9;3
24;10;53
24;11;42
24;12;12
24;13;9
25;1;12
25;2;31
25;3;24
25;4;12
25;5;20
26;1;28
26;2;9
26;3;22
27;1;6
27;2;8
27;3;13
27;4;7
27;5;3
27;6;10
28;1;2
28;2;7
28;3;15
28;4;11
28;5;7
28;6;19
28;7;12
28;8;20
28;9;8
28;10;16
28;11;3
28;12;2
28;13;2
29;1;28
29;2;30
29;3;8
29;4;38
30;1;7
30;2;6
30;3;11
30;4;12
30;5;16
30;6;11
31;1;53
31;2;4
31;3;3
31;4;3
31;5;6
31;6;25
31;7;19
32;1;14
32;2;16
32;3;3
32;4;38
32;5;2
32;6;26
32;7;5
32;8;2
32;9;20
32;10;14
32;11;22
32;12;11
32;13;9
33;1;9
33;2;12
33;3;3
33;4;13
33;5;15
33;6;3
33;7;7
33;8;8
34;1;13
34;2;5
34;3;12
34;4;3
34;5;5
34;6;4
34;7;7
34;8;7
34;9;36
35;1;11
35;2;7
35;3;3
35;4;20
36;1;9
36;2;3
36;3;12
36;4;4
36;5;4
36;6;3
36;7;25
36;8;4
36;9;43
36;10;19
37;1;32
37;2;24
37;3;29
38;1;12
38;2;34
38;3;36
38;4;24
38;5;12
38;6;13
38;7;28
39;1;7
39;2;24
39;3;20
39;4;3
39;5;6
39;6;4
39;7;3
39;8;22
39;9;18
39;10;26
40;1;1
40;2;8
40;3;31
40;4;4
40;5;7
40;6;12
40;7;5
40;8;23
40;9;4
40;10;7
40;11;5
40;12;13
40;13;5
40;14;8
40;15;2
40;16;4
40;17;4
40;18;11
41;1;11
41;2;3
41;3;11
41;4;7
42;1;14
42;2;26
42;3;12
42;4;55
42;5;8
42;6;18
42;7;20
42;8;14
43;1;13
43;2;27
43;3;16
43;4;30
43;5;27
43;6;21
43;7;23
43;8;10
43;9;22
44;1;15
44;2;15
44;3;16
44;4;3
45;1;9
45;2;5
45;3;3
45;4;6
45;5;15
46;1;5
46;2;20
46;3;39
46;4;28
46;5;29
46;6;46
46;7;26
46;8;53
46;9;4
46;10;4
46;11;12
46;12;4
46;13;9
46;14;14
46;15;19
47;1;19
47;2;16
47;3;19
47;4;21
47;5;20
47;6;16
47;7;17
47;8;5
48;1;14
48;2;13
48;3;7
48;4;11
49;1;9
49;2;9
49;3;6
49;4;15
49;5;2
49;6;3
50;1;6
50;2;5
50;3;4
50;4;11
50;5;4
50;6;4
50;7;3
50;8;19
50;9;4
50;10;4
50;11;2
50;12;5
50;13;11
